language,id,text,file,node,lineNumber,lock,comment
en,line:08689d3,Guard: What do you want?,Assets/Dialogue/NPC0.yarn,NPC0Money,8,10dcff14,
en,line:0be88c6,Guard: oho.,Assets/Dialogue/NPC0.yarn,NPC0Money,9,101d18de,
en,line:04a538e,Guard: oho oh o oho,Assets/Dialogue/NPC0.yarn,NPC0Money,10,0c860d2c,
en,line:0cee391,(NEEDS UPDATE) Guard: oooo,Assets/Dialogue/NPC0.yarn,NPC0Money,11,a4c5ce05,
en,line:03a602b,(NEEDS UPDATE) Roman: aaaaaaaaaaaaaaaaa,Assets/Dialogue/NPC0.yarn,NPC0Money,12,3d5bdf9c,
en,line:042b7a5,"Roman: Let him though, Guard",Assets/Dialogue/NPC0.yarn,NPC0Money,13,66db030e,
en,line:054fcc6,Roman: You have {0} coins and {1} rebell coins. What do you want?,Assets/Dialogue/NPC0.yarn,NPC0Money,14,2f1e9f04,Line metadata: lastline
en,line:0603ebe,I want to buy something,Assets/Dialogue/NPC0.yarn,NPC0Money,15,96b66273,
en,line:0bbbe3a,,Assets/Dialogue/NPC0.yarn,NPC0Money,16,73e7c243,
en,line:04f3e02,B,Assets/Dialogue/NPC0.yarn,NPC0Money,17,df7e70e5,
en,line:0f2ec28,C,Assets/Dialogue/NPC0.yarn,NPC0Money,19,6b23c0d5,
en,line:05ad192,Can I have a coin?,Assets/Dialogue/NPC0.yarn,NPC0Money,21,56f0dc10,
en,line:014f67e,Option A,Assets/Dialogue/NPC0.yarn,NPC0Money,23,ae1aceae,
en,line:015c2da,I have picked Option A,Assets/Dialogue/NPC0.yarn,NPC0Money,24,eef39198,
en,line:0250e95,(NEEDS UPDATE) Roman: Yes you have!,Assets/Dialogue/NPC0.yarn,NPC0Money,25,7ce48492,
en,line:0158709,Roman: alright what do you desire?,Assets/Dialogue/NPC0.yarn,NPC0A,32,6d3b6cca,
en,line:0630f1e,Roman: baiiiiiiz,Assets/Dialogue/NPC0.yarn,NPC0B,39,d25c6de2,
en,line:0dd198a,Guard:C,Assets/Dialogue/NPC0.yarn,C,46,e17c75b1,
en,line:0349f99,Guard: Here you go. A coin.,Assets/Dialogue/NPC0.yarn,D,53,7b79a96b,
en,line:0759b33,Guard: go away,Assets/Dialogue/NPC0.yarn,No,63,01af17ef,
en,line:048a6fc,,Assets/Dialogue/NPC0.yarn,No,67,d0fac2f7,
en,line:03d37bd,Guard: Hey!(press C to get 1 coin and 2 rebell coins),Assets/Dialogue/NPC0.yarn,NOMONEY2,78,a9f38d65,
en,line:0fc8f22,Roman: MOOOOOOO,Assets/Dialogue/NPC0.yarn,MOOOOOOO,84,672976d1,
en,line:014af40,Roman: Hello,Assets/Dialogue/NPC2.yarn,NPC1,6,9406b668,
en,line:068ec0d,(NEEDS UPDATE) Guard: Bye asshole,Assets/Dialogue/NPC2.yarn,Node,12,0fdcb8a9,
